date,open,high,low,close,volume,turn
2016-01-04,20.91369431,21.52937181,18.85713806,18.9054897,6186858,3.434331093
2016-01-05,18.3736217,20.51076401,18.31237629,19.9853429,9527242,5.288581608
2016-01-06,19.9853429,20.30768714,19.20526984,20.14651502,6456521,3.584021295
2016-01-07,19.50182654,19.53728441,18.13186352,18.13186352,1876661,1.041736407
2016-01-08,18.6927425,19.29230278,16.60072838,18.91516002,8958306,4.972764663
2016-01-11,18.10285254,18.84424429,17.04556343,17.0810213,7293043,4.048375498
2016-01-12,17.08424474,18.36717481,17.01977589,17.71281601,9069233,5.034340352
2016-01-13,17.76116764,18.01581959,16.36864052,16.36864052,6206491,3.445229391
2016-01-14,15.66593008,17.34212013,15.52732206,17.1648308,7443231,4.131745008
2016-01-15,16.84248656,17.01332901,15.88512416,16.03340251,5830219,3.236360426
2016-01-18,15.53699238,16.88116787,15.47897042,16.38475774,6307623,3.501367866
2016-01-19,16.28160758,17.51296258,16.27838414,17.35179046,6977573,3.873257784
2016-01-20,17.18094801,17.5677611,16.84571,17.20673555,5540813,3.075710864
2016-01-21,16.89083819,17.50329225,16.05274317,16.05274317,6468327,3.590574818
2016-01-22,16.34285299,16.75223017,15.6981645,16.47179068,5706957,3.167937566
2016-01-25,16.71999575,17.14549014,16.43955626,16.6329628,4201063,2.332014293
2016-01-26,16.31061856,16.41376872,14.96966652,14.96966652,5746719,3.190009492
2016-01-27,14.90519767,15.14373241,13.50944711,14.49259705,7092590,3.937103837
2016-01-28,14.56995966,15.33391551,14.37655312,14.47325639,6958270,3.86254267
2016-01-29,14.32820148,15.85611318,14.3217546,15.60790812,6076679,3.37317062
2016-02-01,15.47252354,16.51369543,15.31135142,16.07853071,6222576,3.057798181
2016-02-02,16.08497759,17.34212013,15.98827432,17.16805424,6897475,3.389446189
2016-02-03,16.82959279,17.37435455,16.60072838,17.21318243,5038520,2.475948432
2016-02-04,17.14549014,17.5677611,17.04878687,17.40658898,4880011,2.39805649
2016-02-05,17.30988571,17.40336554,16.66842067,16.7393364,3619336,1.778555865
2016-02-15,16.19779808,18.05127746,16.11721202,17.70636912,5642658,2.772824208
2016-02-16,17.69025191,18.46065464,17.62578306,18.1834386,5690844,2.796502997
