date,open,high,low,close,volume,turn
2016-01-04,201.8908742,201.8908742,194.4727737,194.5005568,1734969,0.138112724
2016-01-05,194.4820347,198.1586713,192.1760335,197.0936506,3190891,0.254011828
2016-01-06,197.0566064,197.8715788,193.8337613,196.5009435,2376090,0.189149352
2016-01-07,193.5466688,193.5466688,185.2487686,187.2861995,814868,0.06486781
2016-01-08,189.082843,192.6298249,185.2209855,189.5088513,4451009,0.354323897
2016-01-11,188.147477,188.7309231,184.6653225,185.0913308,2970258,0.236448273
2016-01-12,186.2397009,187.1658058,181.5165658,182.2481886,4028723,0.320707694
2016-01-13,184.387491,190.777615,183.9244386,185.0172424,2920198,0.232463232
2016-01-14,182.5445422,190.7590929,181.0627743,189.6848112,3477606,0.276835861
2016-01-15,189.6199839,190.9443139,183.3687756,184.2948805,2668119,0.212396408
2016-01-18,183.3687756,187.4436373,182.6278917,184.6931057,2737123,0.217889492
2016-01-19,186.1470904,194.7876494,185.2302465,194.7042999,5911022,0.470548667
2016-01-20,191.70372,194.6302115,186.1563514,187.3695489,4096866,0.326132238
2016-01-21,186.3878777,189.4718071,185.128375,185.4617727,2183229,0.173796595
2016-01-22,188.1011718,188.3697422,184.1189206,187.758513,2273348,0.180970545
2016-01-25,187.9993002,188.4530917,186.6101429,187.7862961,1375045,0.109460867
2016-01-26,186.1378293,189.3606745,183.8318281,184.3041416,2228092,0.177367927
2016-01-27,185.2024634,186.0452189,181.2387343,185.1561581,2984041,0.237545473
2016-01-28,184.9894592,184.9894592,181.1646459,182.1092729,1790300,0.142517365
2016-01-29,182.887201,187.5362478,182.4426707,185.8229537,2309024,0.183810543
2016-02-01,187.1658058,187.8140793,185.1191139,186.4156608,1917802,0.152667199
2016-02-02,187.0731953,189.6662891,185.8136926,189.4347629,1784208,0.142032409
2016-02-03,187.6103362,189.4440239,186.6101429,188.6105295,1515699,0.12065767
2016-02-04,189.6662891,190.6664824,188.4993969,189.8422491,1662475,0.132341818
2016-02-05,189.8422491,190.018209,187.5640309,188.8050115,1422767,0.113259791
2016-02-15,185.2209855,187.9993002,184.8505435,185.6006885,1947018,0.154992948
